instance_id,exit_status,api_calls,full_history_tokens,last_prompt_tokens,max_completion_tokens,failed_prompt_tokens,max_context_tokens,effective_context_tokens,traj_path
astropy__astropy-12907,LimitsExceeded,135,44930,44656,2048,,131072,46704,unbalance1/astropy__astropy-12907/astropy__astropy-12907.traj.json
astropy__astropy-13033,LimitsExceeded,135,32483,32285,2048,,131072,34333,unbalance1/astropy__astropy-13033/astropy__astropy-13033.traj.json
astropy__astropy-13236,LimitsExceeded,135,61741,61500,2048,,131072,63548,unbalance1/astropy__astropy-13236/astropy__astropy-13236.traj.json
astropy__astropy-13398,LimitsExceeded,135,90541,89933,2048,,131072,91981,unbalance1/astropy__astropy-13398/astropy__astropy-13398.traj.json
astropy__astropy-13453,LimitsExceeded,135,29371,29293,2048,,131072,31341,unbalance1/astropy__astropy-13453/astropy__astropy-13453.traj.json
astropy__astropy-13579,ContextLengthExceeded,127,130241,127979,2048,130133,131072,131072,unbalance1/astropy__astropy-13579/astropy__astropy-13579.traj.json
astropy__astropy-13977,LimitsExceeded,135,53319,52995,2048,,131072,55043,unbalance1/astropy__astropy-13977/astropy__astropy-13977.traj.json
astropy__astropy-14096,LimitsExceeded,135,27498,27421,2048,,131072,29469,unbalance1/astropy__astropy-14096/astropy__astropy-14096.traj.json
astropy__astropy-14182,LimitsExceeded,135,45355,44840,2048,,131072,46888,unbalance1/astropy__astropy-14182/astropy__astropy-14182.traj.json
astropy__astropy-14309,ContextLengthExceeded,78,130311,128049,2048,130203,131072,131072,unbalance1/astropy__astropy-14309/astropy__astropy-14309.traj.json
astropy__astropy-14365,LimitsExceeded,135,28440,28361,2048,,131072,30409,unbalance1/astropy__astropy-14365/astropy__astropy-14365.traj.json
astropy__astropy-14369,ContextLengthExceeded,69,130265,128003,2048,130157,131072,131072,unbalance1/astropy__astropy-14369/astropy__astropy-14369.traj.json
astropy__astropy-14508,Submitted,27,13737,12067,2048,,131072,14115,unbalance1/astropy__astropy-14508/astropy__astropy-14508.traj.json
astropy__astropy-14539,Submitted,18,12419,11875,2048,,131072,13923,unbalance1/astropy__astropy-14539/astropy__astropy-14539.traj.json
astropy__astropy-14598,LimitsExceeded,135,42102,42018,2048,,131072,44066,unbalance1/astropy__astropy-14598/astropy__astropy-14598.traj.json
astropy__astropy-14995,Submitted,26,23339,23095,2048,,131072,25143,unbalance1/astropy__astropy-14995/astropy__astropy-14995.traj.json
astropy__astropy-7166,Submitted,21,8936,8326,2048,,131072,10374,unbalance1/astropy__astropy-7166/astropy__astropy-7166.traj.json
astropy__astropy-7336,LimitsExceeded,135,121246,119435,2048,,131072,121483,unbalance1/astropy__astropy-7336/astropy__astropy-7336.traj.json
astropy__astropy-7606,LimitsExceeded,135,28346,28281,2048,,131072,30329,unbalance1/astropy__astropy-7606/astropy__astropy-7606.traj.json
astropy__astropy-7671,Submitted,29,14179,12598,2048,,131072,14646,unbalance1/astropy__astropy-7671/astropy__astropy-7671.traj.json
astropy__astropy-8707,LimitsExceeded,135,43655,43347,2048,,131072,45395,unbalance1/astropy__astropy-8707/astropy__astropy-8707.traj.json
astropy__astropy-8872,LimitsExceeded,135,48964,48639,2048,,131072,50687,unbalance1/astropy__astropy-8872/astropy__astropy-8872.traj.json
django__django-10097,LimitsExceeded,135,42661,42347,2048,,131072,44395,unbalance1/django__django-10097/django__django-10097.traj.json
django__django-10554,ContextLengthExceeded,125,130184,127246,2048,130076,131072,131072,unbalance1/django__django-10554/django__django-10554.traj.json
django__django-10880,Submitted,34,20586,19090,2048,,131072,21138,unbalance1/django__django-10880/django__django-10880.traj.json
django__django-10914,LimitsExceeded,135,76714,76113,2048,,131072,78161,unbalance1/django__django-10914/django__django-10914.traj.json
django__django-10973,Submitted,16,9188,7679,2048,,131072,9727,unbalance1/django__django-10973/django__django-10973.traj.json
django__django-10999,LimitsExceeded,135,71774,71287,2048,,131072,73335,unbalance1/django__django-10999/django__django-10999.traj.json
django__django-11066,Submitted,11,6233,5923,2048,,131072,7971,unbalance1/django__django-11066/django__django-11066.traj.json
django__django-11087,LimitsExceeded,135,50270,49929,2048,,131072,51977,unbalance1/django__django-11087/django__django-11087.traj.json
django__django-11095,Submitted,19,7187,6893,2048,,131072,8941,unbalance1/django__django-11095/django__django-11095.traj.json
django__django-11099,Submitted,23,11551,9707,2048,,131072,11755,unbalance1/django__django-11099/django__django-11099.traj.json
django__django-11119,LimitsExceeded,135,64494,64303,2048,,131072,66351,unbalance1/django__django-11119/django__django-11119.traj.json
django__django-11133,Submitted,24,8856,8199,2048,,131072,10247,unbalance1/django__django-11133/django__django-11133.traj.json
django__django-11138,LimitsExceeded,135,20651,20580,2048,,131072,22628,unbalance1/django__django-11138/django__django-11138.traj.json
django__django-11141,Submitted,27,13434,11585,2048,,131072,13633,unbalance1/django__django-11141/django__django-11141.traj.json
django__django-11149,ContextLengthExceeded,113,129484,128248,2048,129376,131072,131072,unbalance1/django__django-11149/django__django-11149.traj.json
django__django-11163,Submitted,26,9429,8210,2048,,131072,10258,unbalance1/django__django-11163/django__django-11163.traj.json
django__django-11179,Submitted,43,14180,11960,2048,,131072,14008,unbalance1/django__django-11179/django__django-11179.traj.json
django__django-11206,Submitted,35,12711,11907,2048,,131072,13955,unbalance1/django__django-11206/django__django-11206.traj.json
django__django-11211,Submitted,68,34129,33922,2048,,131072,35970,unbalance1/django__django-11211/django__django-11211.traj.json
django__django-11239,LimitsExceeded,135,65121,64671,2048,,131072,66719,unbalance1/django__django-11239/django__django-11239.traj.json
django__django-11265,LimitsExceeded,135,45908,45597,2048,,131072,47645,unbalance1/django__django-11265/django__django-11265.traj.json
django__django-11276,LimitsExceeded,135,45742,45649,2048,,131072,47697,unbalance1/django__django-11276/django__django-11276.traj.json
django__django-11292,Submitted,38,21548,12783,2048,,131072,14831,unbalance1/django__django-11292/django__django-11292.traj.json
django__django-11299,LimitsExceeded,135,59817,59497,2048,,131072,61545,unbalance1/django__django-11299/django__django-11299.traj.json
django__django-11333,LimitsExceeded,135,47498,47190,2048,,131072,49238,unbalance1/django__django-11333/django__django-11333.traj.json
django__django-11400,LimitsExceeded,135,17794,17711,2048,,131072,19759,unbalance1/django__django-11400/django__django-11400.traj.json
django__django-11433,LimitsExceeded,135,63075,62679,2048,,131072,64727,unbalance1/django__django-11433/django__django-11433.traj.json
django__django-11451,LimitsExceeded,135,58953,58577,2048,,131072,60625,unbalance1/django__django-11451/django__django-11451.traj.json
django__django-11477,Submitted,74,39809,37396,2048,,131072,39444,unbalance1/django__django-11477/django__django-11477.traj.json
django__django-11490,LimitsExceeded,135,31616,31341,2048,,131072,33389,unbalance1/django__django-11490/django__django-11490.traj.json
django__django-11532,ContextLengthExceeded,72,130209,127947,2048,130101,131072,131072,unbalance1/django__django-11532/django__django-11532.traj.json
django__django-11551,LimitsExceeded,135,85707,85011,2048,,131072,87059,unbalance1/django__django-11551/django__django-11551.traj.json
django__django-11555,LimitsExceeded,135,32635,32416,2048,,131072,34464,unbalance1/django__django-11555/django__django-11555.traj.json
django__django-11603,Submitted,12,10889,9341,2048,,131072,11389,unbalance1/django__django-11603/django__django-11603.traj.json
django__django-11728,LimitsExceeded,135,58740,58284,2048,,131072,60332,unbalance1/django__django-11728/django__django-11728.traj.json
django__django-11734,LimitsExceeded,135,83214,82608,2048,,131072,84656,unbalance1/django__django-11734/django__django-11734.traj.json
django__django-11740,ContextLengthExceeded,106,129488,127226,2048,129380,131072,131072,unbalance1/django__django-11740/django__django-11740.traj.json
django__django-11749,LimitsExceeded,135,36779,36534,2048,,131072,38582,unbalance1/django__django-11749/django__django-11749.traj.json
django__django-11790,LimitsExceeded,135,43737,43465,2048,,131072,45513,unbalance1/django__django-11790/django__django-11790.traj.json
django__django-11815,LimitsExceeded,135,39946,39722,2048,,131072,41770,unbalance1/django__django-11815/django__django-11815.traj.json
django__django-11820,LimitsExceeded,135,73873,73790,2048,,131072,75838,unbalance1/django__django-11820/django__django-11820.traj.json
django__django-11848,Submitted,22,9656,8316,2048,,131072,10364,unbalance1/django__django-11848/django__django-11848.traj.json
django__django-11880,Submitted,24,8989,8286,2048,,131072,10334,unbalance1/django__django-11880/django__django-11880.traj.json
django__django-11885,LimitsExceeded,135,72332,71766,2048,,131072,73814,unbalance1/django__django-11885/django__django-11885.traj.json
django__django-11951,LimitsExceeded,135,63872,63379,2048,,131072,65427,unbalance1/django__django-11951/django__django-11951.traj.json
django__django-11964,ContextLengthExceeded,118,129456,128186,2048,129348,131072,131072,unbalance1/django__django-11964/django__django-11964.traj.json
django__django-11999,Submitted,51,35679,14983,2048,,131072,17031,unbalance1/django__django-11999/django__django-11999.traj.json
django__django-12039,LimitsExceeded,135,109409,107253,2048,,131072,109301,unbalance1/django__django-12039/django__django-12039.traj.json
django__django-12050,Submitted,49,16385,16222,2048,,131072,18270,unbalance1/django__django-12050/django__django-12050.traj.json
django__django-12125,ContextLengthExceeded,108,129813,127551,2048,129705,131072,131072,unbalance1/django__django-12125/django__django-12125.traj.json
django__django-12143,LimitsExceeded,135,31265,31098,2048,,131072,33146,unbalance1/django__django-12143/django__django-12143.traj.json
django__django-12155,LimitsExceeded,135,39552,39150,2048,,131072,41198,unbalance1/django__django-12155/django__django-12155.traj.json
django__django-12193,Submitted,37,20289,18944,2048,,131072,20992,unbalance1/django__django-12193/django__django-12193.traj.json
django__django-12209,LimitsExceeded,135,66301,65680,2048,,131072,67728,unbalance1/django__django-12209/django__django-12209.traj.json
django__django-12262,LimitsExceeded,135,96015,95211,2048,,131072,97259,unbalance1/django__django-12262/django__django-12262.traj.json
django__django-12273,LimitsExceeded,135,62924,62447,2048,,131072,64495,unbalance1/django__django-12273/django__django-12273.traj.json
django__django-12276,Submitted,20,7006,6526,2048,,131072,8574,unbalance1/django__django-12276/django__django-12276.traj.json
django__django-12304,Submitted,9,4295,4240,2048,,131072,6288,unbalance1/django__django-12304/django__django-12304.traj.json
django__django-12308,LimitsExceeded,135,24399,24325,2048,,131072,26373,unbalance1/django__django-12308/django__django-12308.traj.json
django__django-12325,LimitsExceeded,135,54165,53775,2048,,131072,55823,unbalance1/django__django-12325/django__django-12325.traj.json
django__django-12406,LimitsExceeded,135,29535,29461,2048,,131072,31509,unbalance1/django__django-12406/django__django-12406.traj.json
django__django-12419,Submitted,24,11169,8822,2048,,131072,10870,unbalance1/django__django-12419/django__django-12419.traj.json
django__django-12663,Submitted,27,18369,16892,2048,,131072,18940,unbalance1/django__django-12663/django__django-12663.traj.json
django__django-12708,LimitsExceeded,135,20982,20907,2048,,131072,22955,unbalance1/django__django-12708/django__django-12708.traj.json
django__django-12713,Submitted,39,20940,17333,2048,,131072,19381,unbalance1/django__django-12713/django__django-12713.traj.json
django__django-12741,Submitted,25,6081,5358,2048,,131072,7406,unbalance1/django__django-12741/django__django-12741.traj.json
django__django-12754,ContextLengthExceeded,127,129694,128520,2048,129586,131072,131072,unbalance1/django__django-12754/django__django-12754.traj.json
django__django-12774,Submitted,17,10560,8724,2048,,131072,10772,unbalance1/django__django-12774/django__django-12774.traj.json
django__django-12858,LimitsExceeded,135,65165,64677,2048,,131072,66725,unbalance1/django__django-12858/django__django-12858.traj.json
django__django-12965,LimitsExceeded,135,45751,45278,2048,,131072,47326,unbalance1/django__django-12965/django__django-12965.traj.json
django__django-13012,ContextLengthExceeded,118,130167,127905,2048,130059,131072,131072,unbalance1/django__django-13012/django__django-13012.traj.json
django__django-13023,LimitsExceeded,135,33090,32975,2048,,131072,35023,unbalance1/django__django-13023/django__django-13023.traj.json
django__django-13028,Submitted,26,12954,12020,2048,,131072,14068,unbalance1/django__django-13028/django__django-13028.traj.json
django__django-13033,LimitsExceeded,135,48920,48708,2048,,131072,50756,unbalance1/django__django-13033/django__django-13033.traj.json
django__django-13089,LimitsExceeded,135,68242,67698,2048,,131072,69746,unbalance1/django__django-13089/django__django-13089.traj.json
django__django-13109,Submitted,32,12751,10900,2048,,131072,12948,unbalance1/django__django-13109/django__django-13109.traj.json
django__django-13112,LimitsExceeded,135,127495,125339,2048,,131072,127387,unbalance1/django__django-13112/django__django-13112.traj.json
django__django-13121,LimitsExceeded,135,32933,32647,2048,,131072,34695,unbalance1/django__django-13121/django__django-13121.traj.json
django__django-13128,LimitsExceeded,135,124846,122690,2048,,131072,124738,unbalance1/django__django-13128/django__django-13128.traj.json
django__django-13158,LimitsExceeded,135,46668,46179,2048,,131072,48227,unbalance1/django__django-13158/django__django-13158.traj.json
django__django-13195,Submitted,19,12544,7191,2048,,131072,9239,unbalance1/django__django-13195/django__django-13195.traj.json
django__django-13212,ContextLengthExceeded,126,130402,128878,2048,130294,131072,131072,unbalance1/django__django-13212/django__django-13212.traj.json
django__django-13279,LimitsExceeded,135,53062,52739,2048,,131072,54787,unbalance1/django__django-13279/django__django-13279.traj.json
django__django-13297,LimitsExceeded,135,59814,59313,2048,,131072,61361,unbalance1/django__django-13297/django__django-13297.traj.json
django__django-13315,LimitsExceeded,135,21952,21879,2048,,131072,23927,unbalance1/django__django-13315/django__django-13315.traj.json
django__django-13343,LimitsExceeded,135,31763,31675,2048,,131072,33723,unbalance1/django__django-13343/django__django-13343.traj.json
django__django-13344,ContextLengthExceeded,87,130454,128192,2048,130346,131072,131072,unbalance1/django__django-13344/django__django-13344.traj.json
django__django-13346,LimitsExceeded,135,85211,84621,2048,,131072,86669,unbalance1/django__django-13346/django__django-13346.traj.json
django__django-13363,ContextLengthExceeded,117,130237,129001,2048,130129,131072,131072,unbalance1/django__django-13363/django__django-13363.traj.json
django__django-13401,Submitted,21,8197,7125,2048,,131072,9173,unbalance1/django__django-13401/django__django-13401.traj.json
django__django-13406,ContextLengthExceeded,72,130178,127915,2048,130070,131072,131072,unbalance1/django__django-13406/django__django-13406.traj.json
django__django-13410,ContextLengthExceeded,126,130139,128901,2048,130031,131072,131072,unbalance1/django__django-13410/django__django-13410.traj.json
django__django-13417,ContextLengthExceeded,105,129175,126913,2048,129067,131072,131072,unbalance1/django__django-13417/django__django-13417.traj.json
django__django-13449,LimitsExceeded,135,26439,26370,2048,,131072,28418,unbalance1/django__django-13449/django__django-13449.traj.json
django__django-13512,LimitsExceeded,135,21750,21643,2048,,131072,23691,unbalance1/django__django-13512/django__django-13512.traj.json
django__django-13513,LimitsExceeded,135,49620,49143,2048,,131072,51191,unbalance1/django__django-13513/django__django-13513.traj.json
django__django-13516,LimitsExceeded,135,40070,39802,2048,,131072,41850,unbalance1/django__django-13516/django__django-13516.traj.json
django__django-13551,Submitted,16,9815,8897,2048,,131072,10945,unbalance1/django__django-13551/django__django-13551.traj.json
django__django-13568,Submitted,34,15366,14542,2048,,131072,16590,unbalance1/django__django-13568/django__django-13568.traj.json
django__django-13569,LimitsExceeded,135,62601,61768,2048,,131072,63816,unbalance1/django__django-13569/django__django-13569.traj.json
django__django-13590,LimitsExceeded,135,37773,37507,2048,,131072,39555,unbalance1/django__django-13590/django__django-13590.traj.json
django__django-13658,Submitted,42,20867,19270,2048,,131072,21318,unbalance1/django__django-13658/django__django-13658.traj.json
django__django-13670,Submitted,17,8975,8264,2048,,131072,10312,unbalance1/django__django-13670/django__django-13670.traj.json
django__django-13741,Submitted,33,10416,9872,2048,,131072,11920,unbalance1/django__django-13741/django__django-13741.traj.json
django__django-13786,LimitsExceeded,135,26253,26142,2048,,131072,28190,unbalance1/django__django-13786/django__django-13786.traj.json
django__django-13794,LimitsExceeded,135,27909,27718,2048,,131072,29766,unbalance1/django__django-13794/django__django-13794.traj.json
django__django-13807,LimitsExceeded,135,44435,44087,2048,,131072,46135,unbalance1/django__django-13807/django__django-13807.traj.json
django__django-13809,LimitsExceeded,135,31916,31758,2048,,131072,33806,unbalance1/django__django-13809/django__django-13809.traj.json
django__django-13810,LimitsExceeded,135,76647,76067,2048,,131072,78115,unbalance1/django__django-13810/django__django-13810.traj.json
django__django-13820,Submitted,34,23067,16550,2048,,131072,18598,unbalance1/django__django-13820/django__django-13820.traj.json
django__django-13821,ContextLengthExceeded,104,129953,127691,2048,129845,131072,131072,unbalance1/django__django-13821/django__django-13821.traj.json
django__django-13837,LimitsExceeded,135,37482,37238,2048,,131072,39286,unbalance1/django__django-13837/django__django-13837.traj.json
django__django-13925,LimitsExceeded,135,21215,21138,2048,,131072,23186,unbalance1/django__django-13925/django__django-13925.traj.json
django__django-13933,Submitted,50,32694,19342,2048,,131072,21390,unbalance1/django__django-13933/django__django-13933.traj.json
django__django-13964,LimitsExceeded,135,97318,96952,2048,,131072,99000,unbalance1/django__django-13964/django__django-13964.traj.json
django__django-14007,LimitsExceeded,135,39172,38920,2048,,131072,40968,unbalance1/django__django-14007/django__django-14007.traj.json
django__django-14011,LimitsExceeded,135,48017,47630,2048,,131072,49678,unbalance1/django__django-14011/django__django-14011.traj.json
django__django-14017,LimitsExceeded,135,106923,106765,2048,,131072,108813,unbalance1/django__django-14017/django__django-14017.traj.json
django__django-14034,LimitsExceeded,135,74019,73448,2048,,131072,75496,unbalance1/django__django-14034/django__django-14034.traj.json
django__django-14053,LimitsExceeded,135,64704,64517,2048,,131072,66565,unbalance1/django__django-14053/django__django-14053.traj.json
django__django-14089,LimitsExceeded,135,22711,22583,2048,,131072,24631,unbalance1/django__django-14089/django__django-14089.traj.json
django__django-14122,LimitsExceeded,135,27819,27704,2048,,131072,29752,unbalance1/django__django-14122/django__django-14122.traj.json
django__django-14140,LimitsExceeded,135,27915,27769,2048,,131072,29817,unbalance1/django__django-14140/django__django-14140.traj.json
django__django-14155,LimitsExceeded,135,49183,49104,2048,,131072,51152,unbalance1/django__django-14155/django__django-14155.traj.json
django__django-14170,LimitsExceeded,135,55868,55578,2048,,131072,57626,unbalance1/django__django-14170/django__django-14170.traj.json
django__django-14238,LimitsExceeded,135,44408,43977,2048,,131072,46025,unbalance1/django__django-14238/django__django-14238.traj.json
django__django-14311,LimitsExceeded,135,45627,45324,2048,,131072,47372,unbalance1/django__django-14311/django__django-14311.traj.json
django__django-14315,LimitsExceeded,135,49218,48856,2048,,131072,50904,unbalance1/django__django-14315/django__django-14315.traj.json
django__django-14349,LimitsExceeded,135,65863,65636,2048,,131072,67684,unbalance1/django__django-14349/django__django-14349.traj.json
django__django-14351,LimitsExceeded,135,36077,36012,2048,,131072,38060,unbalance1/django__django-14351/django__django-14351.traj.json
django__django-14373,Submitted,28,9743,8623,2048,,131072,10671,unbalance1/django__django-14373/django__django-14373.traj.json
django__django-14376,LimitsExceeded,135,16663,16574,2048,,131072,18622,unbalance1/django__django-14376/django__django-14376.traj.json
django__django-14404,LimitsExceeded,135,50791,50621,2048,,131072,52669,unbalance1/django__django-14404/django__django-14404.traj.json
django__django-14434,Submitted,32,14567,13866,2048,,131072,15914,unbalance1/django__django-14434/django__django-14434.traj.json
django__django-14493,LimitsExceeded,135,43523,43219,2048,,131072,45267,unbalance1/django__django-14493/django__django-14493.traj.json
django__django-14500,LimitsExceeded,135,58975,58654,2048,,131072,60702,unbalance1/django__django-14500/django__django-14500.traj.json
django__django-14534,LimitsExceeded,135,21067,20985,2048,,131072,23033,unbalance1/django__django-14534/django__django-14534.traj.json
django__django-14539,LimitsExceeded,135,24777,24623,2048,,131072,26671,unbalance1/django__django-14539/django__django-14539.traj.json
django__django-14559,LimitsExceeded,135,91118,90031,2048,,131072,92079,unbalance1/django__django-14559/django__django-14559.traj.json
django__django-14580,LimitsExceeded,135,65170,64764,2048,,131072,66812,unbalance1/django__django-14580/django__django-14580.traj.json
django__django-14608,LimitsExceeded,135,38025,37953,2048,,131072,40001,unbalance1/django__django-14608/django__django-14608.traj.json
django__django-14631,Submitted,32,16525,15000,2048,,131072,17048,unbalance1/django__django-14631/django__django-14631.traj.json
django__django-14672,LimitsExceeded,135,37096,36845,2048,,131072,38893,unbalance1/django__django-14672/django__django-14672.traj.json
django__django-14725,LimitsExceeded,135,74040,73502,2048,,131072,75550,unbalance1/django__django-14725/django__django-14725.traj.json
django__django-14752,Submitted,14,8162,7759,2048,,131072,9807,unbalance1/django__django-14752/django__django-14752.traj.json
django__django-14765,LimitsExceeded,135,45360,45116,2048,,131072,47164,unbalance1/django__django-14765/django__django-14765.traj.json
django__django-14771,LimitsExceeded,135,85842,85330,2048,,131072,87378,unbalance1/django__django-14771/django__django-14771.traj.json
django__django-14787,LimitsExceeded,135,27728,27553,2048,,131072,29601,unbalance1/django__django-14787/django__django-14787.traj.json
